Year,State,Sex,Education,Count
Aug-16,South Australia,Female,Graduate Diploma or Certificate,13300
Aug-16,South Australia,Female,Bachelor Degree,80400
Aug-16,South Australia,Female,Advanced Diploma or Diploma,43200
Aug-16,South Australia,Female,Certificate III or IV,71300
Aug-16,South Australia,Female,Year 12 or equivalent,76600
Aug-16,South Australia,Female,Year 11 or equivalent,35300
Aug-16,South Australia,Female,Year 10 or equivalent,25900
Aug-16,Western Australia,Male,Postgraduate Degree,38000
Aug-16,Western Australia,Male,Graduate Diploma or Certificate,19500
Aug-16,Western Australia,Male,Bachelor Degree,113100
Aug-16,Western Australia,Male,Advanced Diploma or Diploma,62100
Aug-16,Western Australia,Male,Certificate III or IV,186800
Aug-16,Western Australia,Male,Year 12 or equivalent,130000
Aug-16,Western Australia,Male,Year 11 or equivalent,31200
Aug-16,Western Australia,Male,Year 10 or equivalent,71700
Aug-16,Western Australia,Female,Postgraduate Degree,33400
Aug-16,Western Australia,Female,Graduate Diploma or Certificate,19300
Aug-16,Western Australia,Female,Bachelor Degree,147200
Aug-16,Western Australia,Female,Advanced Diploma or Diploma,76200
Aug-16,Western Australia,Female,Certificate III or IV,89700
Aug-16,Western Australia,Female,Year 12 or equivalent,110200
Aug-16,Western Australia,Female,Year 11 or equivalent,27800
Aug-16,Western Australia,Female,Year 10 or equivalent,52100
Aug-16,Tasmania,Male,Postgraduate Degree,6400
Aug-16,Tasmania,Male,Graduate Diploma or Certificate,2800
Aug-16,Tasmania,Male,Bachelor Degree,17500
Aug-16,Tasmania,Male,Advanced Diploma or Diploma,9600
Aug-16,Tasmania,Male,Certificate III or IV,38900
Aug-16,Tasmania,Male,Year 12 or equivalent,14300
Aug-16,Tasmania,Male,Year 11 or equivalent,4200
Aug-16,Tasmania,Male,Year 10 or equivalent,21200
Aug-16,Tasmania,Female,Postgraduate Degree,5000
Aug-16,Tasmania,Female,Graduate Diploma or Certificate,3100
Aug-16,Tasmania,Female,Bachelor Degree,20800
Aug-16,Tasmania,Female,Advanced Diploma or Diploma,12200
Aug-16,Tasmania,Female,Certificate III or IV,23500
Aug-16,Tasmania,Female,Year 12 or equivalent,14900
Aug-16,Tasmania,Female,Year 11 or equivalent,5200
Aug-16,Tasmania,Female,Year 10 or equivalent,18900
Aug-16,Northern Territory,Male,Postgraduate Degree,3700
Aug-16,Northern Territory,Male,Graduate Diploma or Certificate,700
Aug-16,Northern Territory,Male,Bachelor Degree,10800
Aug-16,Northern Territory,Male,Advanced Diploma or Diploma,8300
Aug-16,Northern Territory,Male,Certificate III or IV,22400
Aug-16,Northern Territory,Male,Year 12 or equivalent,10600
Aug-16,Northern Territory,Male,Year 11 or equivalent,3600
Aug-16,Northern Territory,Male,Year 10 or equivalent,6600
Aug-16,Northern Territory,Female,Postgraduate Degree,3800
Aug-16,Northern Territory,Female,Graduate Diploma or Certificate,1800
Aug-16,Northern Territory,Female,Bachelor Degree,14700
Aug-16,Northern Territory,Female,Advanced Diploma or Diploma,6100
Aug-16,Northern Territory,Female,Certificate III or IV,8600
Aug-16,Northern Territory,Female,Year 12 or equivalent,11400
Aug-16,Northern Territory,Female,Year 11 or equivalent,3300
Aug-16,Northern Territory,Female,Year 10 or equivalent,5100
Aug-16,Australian Capital Territory,Male,Postgraduate Degree,18200
