Year,Sex,State,Industry,Weekly_Sum
2014,Male,Tasmania,Public Administration and Safety,13441762.7
2014,Male,Tasmania,Education and Training,7400944.2
2014,Male,Tasmania,Health Care and Social Assistance,8477252.3
2014,Male,Tasmania,Arts and Recreation Services,829070.6
2014,Male,Tasmania,Other Services,4078073.9
2014,Male,Tasmania,Total,123273685.4
2014,Male,Northern Territory,"Agriculture, Forestry and Fishing",506719.4
2014,Male,Northern Territory,Mining,8456583.7
2014,Male,Northern Territory,Manufacturing,6267865.9
2014,Male,Northern Territory,"Electricity, Gas, Water and Waste Services",3781132.9
2014,Male,Northern Territory,Construction,17241363.1
2014,Male,Northern Territory,Wholesale Trade,2074600.4
2014,Male,Northern Territory,Retail Trade,4365768.3
2014,Male,Northern Territory,Accommodation and Food Services,2251075.4
2014,Male,Northern Territory,"Transport, Postal and Warehousing",9014548.5
2014,Male,Northern Territory,Information Media and Telecommunications,3759641.3
2014,Male,Northern Territory,Financial and Insurance Services,660780.9
2014,Male,Northern Territory,"Rental, Hiring and Real Estate Services",1418391.7
2014,Male,Northern Territory,"Professional, Scientific and Technical Services",10764759.9
2014,Male,Northern Territory,Administrative and Support Services,1444843.1
2014,Male,Northern Territory,Public Administration and Safety,15794374.5
2014,Male,Northern Territory,Education and Training,3155077.1
2014,Male,Northern Territory,Health Care and Social Assistance,6054020.1
2014,Male,Northern Territory,Arts and Recreation Services,1721493.7
2014,Male,Northern Territory,Other Services,5278940.1
2014,Male,Northern Territory,Total,102559265.1
2014,Male,Australian Capital Territory,"Agriculture, Forestry and Fishing",0
2014,Male,Australian Capital Territory,Mining,0
2014,Male,Australian Capital Territory,Manufacturing,1988906.3
2014,Male,Australian Capital Territory,"Electricity, Gas, Water and Waste Services",1769152
2014,Male,Australian Capital Territory,Construction,11024749.4
2014,Male,Australian Capital Territory,Wholesale Trade,2059672.9
2014,Male,Australian Capital Territory,Retail Trade,5728842.7
2014,Male,Australian Capital Territory,Accommodation and Food Services,5505182.7
2014,Male,Australian Capital Territory,"Transport, Postal and Warehousing",6578285.3
2014,Male,Australian Capital Territory,Information Media and Telecommunications,2021165.6
2014,Male,Australian Capital Territory,Financial and Insurance Services,3041587
2014,Male,Australian Capital Territory,"Rental, Hiring and Real Estate Services",5726654.1
2014,Male,Australian Capital Territory,"Professional, Scientific and Technical Services",21991098.3
2014,Male,Australian Capital Territory,Administrative and Support Services,1869018.7
2014,Male,Australian Capital Territory,Public Administration and Safety,59086276.3
2014,Male,Australian Capital Territory,Education and Training,7139511.2
2014,Male,Australian Capital Territory,Health Care and Social Assistance,10998007.7
2014,Male,Australian Capital Territory,Arts and Recreation Services,2705726.7
2014,Male,Australian Capital Territory,Other Services,2714898.4
2014,Male,Australian Capital Territory,Total,152030660.5
2014,Male,Total,"Agriculture, Forestry and Fishing",97694783.9
2014,Male,Total,Mining,459971314.7
2014,Male,Total,Manufacturing,809251549.2
2014,Male,Total,"Electricity, Gas, Water and Waste Services",174289683.3
2014,Male,Total,Construction,926906089
2014,Male,Total,Wholesale Trade,357743698.2
2014,Male,Total,Retail Trade,443053076.8
2014,Male,Total,Accommodation and Food Services,198481915.5
2014,Male,Total,"Transport, Postal and Warehousing",578135532.8
2014,Male,Total,Information Media and Telecommunications,209929580.7
2014,Male,Total,Financial and Insurance Services,384856749.6
2014,Male,Total,"Rental, Hiring and Real Estate Services",135044681.5
2014,Male,Total,"Professional, Scientific and Technical Services",793520046.2
2014,Male,Total,Administrative and Support Services,155854952.7
2014,Male,Total,Public Administration and Safety,546782255.6
2014,Male,Total,Education and Training,372320422.3
2014,Male,Total,Health Care and Social Assistance,437745804
2014,Male,Total,Arts and Recreation Services,85195900.7
2014,Male,Total,Other Services,255757967.8
2014,Male,Total,Total,7438637094
